"Order #%d","Заказ №%d"
"Trello API key","Ключ Trello API"
"<p>Grab a key for your user from <a href=""https://trello.com/app-key"" target=""_blank"">https://trello.com/app-key</a></p>","<p>Скопируйте ключ доступа со страницы <a href=""https://trello.com/app-key"" target=""_blank"">https://trello.com/app-key</a></p>"
"Trello API token","Токен Trello API"
"<p>Token to auhorize API user on behalf of which actions will be performed</p>","<p>Токен необходим, чтобы производить действия с досками Trello от имени пользователя API</p>"
"Board ID","ID доски"
"<p>Board ID, you can find it in Menu - More - Print and Export - JSON - id</p>","<p>Вы можете найти идентификатор доски в Menu - More - Print and Export - JSON - id</p>"
"Created by: %s","Покупатель: %s"
"Vendor: %s","Продавец: %s"
"Grand Total: %s","Сумма: %s"
"Created at: %s","Создан: %s"
"Update Trello Status","Обновить статус в Trello"
"%s order(s) updated in Trello board.","%s заказ(ов) обновлено в доске Trello."
"Use it like customer address template.<br />N.B. you can extend data using the <code>trello_order_card_generate_description</code> observer handle.","Используйте так же, как адрес пользователя или email.<br />N.B. вы можете добавить больше данных в шаблон, используя событие <code>trello_order_card_generate_description</code>."
